Account,Source Account,Text,Time,Compound Score,Positive Score,Negative Score,Neutral Score,Tweets Ago
CBS News,-,Americans owe more credit card debt now than during the financial crisis. Here are 5 simple tips for paying down th… https://t.co/5MB0vUdrb2,2018-06-04 11:20:19-05:00,-0.6086,0.104,0.247,0.648,39
CBS News,-,"Suspect linked to killings of four Phoenix-area professionals found dead in hotel room, police say… https://t.co/N4hYhS2o6B",2018-06-04 11:14:55-05:00,-0.9001,0.0,0.458,0.542,40
CBS News,-,"This blind dachshund had a habit of running into things, until a pit bull came along and became his personal guide… https://t.co/cOXspivf7C",2018-06-04 11:01:09-05:00,-0.4019,0.0,0.124,0.876,41
CBS News,-,"SCOTUS setting aside Colorado court ruling against baker who wouldn't make wedding cake for same-sex couple, but do… https://t.co/D9x1fMSsBl",2018-06-04 10:49:29-05:00,0.0,0.0,0.0,1.0,42
CBS News,-,Supreme Court sides with President Trump in pregnant immigrant teen case https://t.co/LlUjT6As2o https://t.co/Mv9nhNDMpp,2018-06-04 10:29:31-05:00,0.5574,0.231,0.0,0.769,43
CBS News,-,Blind dachshund and the pit bull who acts as his guide have found a forever home together https://t.co/T3r0TSBZfT https://t.co/rvvrAQWo46,2018-06-04 10:27:16-05:00,-0.4019,0.0,0.137,0.863,44
CBS News,-,"""Obviously the investigation is on going. We have a deceased suspect at this point, the primary person we were look… https://t.co/sQM90NmYWE",2018-06-04 10:25:45-05:00,-0.296,0.0,0.104,0.896,45
CBS News,-,"Arizona officials give update on suspect who killed at least 3 people: ""The suspect was tracked to a room here at t… https://t.co/6ZcNS3IGM3",2018-06-04 10:22:54-05:00,-0.836,0.0,0.331,0.669,46
CBS News,-,A divide among Democrats between backers of teachers unions and those of charter schools is helping shape key guber… https://t.co/TDtC9hasf9,2018-06-04 10:14:35-05:00,0.296,0.109,0.0,0.891,47
CBS News,-,"""In God We Trust"" on money isn't religious endorsement, federal court rules https://t.co/VBXsDO1vGf https://t.co/7DCL2owoGh",2018-06-04 09:59:39-05:00,0.5327,0.294,0.107,0.599,48
CBS News,-,Supreme Court rules in favor of baker who denied same-sex couple a wedding cake https://t.co/5qMn4rnEEP https://t.co/efZppjBtt0,2018-06-04 09:44:56-05:00,0.5267,0.297,0.137,0.566,49
CBS News,-,"Police are searching for 7-month-old Emma Grace Kennedy after she was abducted by an armed sex offender, Carl Ray K… https://t.co/Ofe7rFPivx",2018-06-04 09:32:29-05:00,-0.4588,0.105,0.218,0.677,50
CBS News,-,Off-duty firefighter killed in motorcycle crash with bear in Oregon https://t.co/vOCKJlCROY https://t.co/N6qOeH0IRj,2018-06-04 09:29:33-05:00,-0.802,0.0,0.419,0.581,51
CBS News,-,"President Trump says he has ""absolute right"" to pardon himself, but says he wouldn't use it https://t.co/q2AnvvoU5d https://t.co/kDjC8ZTO3X",2018-06-04 09:14:34-05:00,0.1655,0.088,0.0,0.912,52
CBS News,-,"Serena Williams withdraws from the French Open, just before match against Maria Sharapova. Follow here for live upd… https://t.co/8YS9fdWpO3",2018-06-04 09:01:02-05:00,0.0,0.0,0.0,1.0,53
CBS News,-,"Bill Clinton says #MeToo movement overdue, stands by his own actions in wake of Monica Lewisnky scandal… https://t.co/yn8UEb8nQi",2018-06-04 09:00:01-05:00,0.0,0.0,0.0,1.0,54
CBS News,-,"WATCH: Guatemala’s “volcano of fire” erupts, sending a 5-mile stream of deadly lava through the streets and darkeni… https://t.co/yf2GAlKXSp",2018-06-04 08:45:26-05:00,0.0,0.0,0.0,1.0,55
CBS News,-,China says trade deals are off if President Donald Trump follows through on his threat of tariffs which would tax b… https://t.co/wZlcO2vVPL,2018-06-04 08:29:35-05:00,-0.5267,0.0,0.139,0.861,56
CBS News,-,"This was supposed to be the quiet time on Capitol Hill, but Congress faces immigration showdown and tension over ta… https://t.co/93YY1FyqDW",2018-06-04 08:14:45-05:00,-0.4497,0.0,0.129,0.871,57
CBS News,-,Soldier deployed overseas was granted special leave to surprise his son at his high school graduation. Watch their… https://t.co/ZceuZ3BHIP,2018-06-04 08:00:48-05:00,0.6808,0.296,0.052,0.652,58
CBS News,-,"Tony award winner Kenny Leon directed numerous broadway hits including, “Hairspray Live,"" “Raisin in the Sun,"" and… https://t.co/RahyanD0zr",2018-06-04 07:58:23-05:00,0.8074,0.313,0.0,0.687,59
CBS News,-,“There are certain policies that [the Trump administration] targeted... There’s not an ideological rationale for wh… https://t.co/RXEh5TyNvX,2018-06-04 07:56:14-05:00,0.2732,0.116,0.0,0.884,60
CBS News,-,"“I was 29 years old when I worked for Barack Obama...I spent weeks listening to all of his interviews, trying to ge… https://t.co/ZglxhffKyA",2018-06-04 07:52:45-05:00,0.0,0.0,0.0,1.0,61
CBS News,-,Ben Rhodes was a speech writer during Pres. Obama’s 2008 presidential campaign. He became deputy national security… https://t.co/F2DBQKmZ1w,2018-06-04 07:41:58-05:00,0.0,0.0,0.0,1.0,62
CBS News,-,"Newly released body-cam videos show what officers did after arresting Sterling Brown, appear to show cops were worr… https://t.co/qoP62sIqUN",2018-06-04 07:40:38-05:00,0.0,0.0,0.0,1.0,63
CBS News,-,A recent Harvard Business Review study discovered discrimination is prevalent in the service industry.… https://t.co/J3Znjy3riH,2018-06-04 07:20:45-05:00,0.0,0.0,0.0,1.0,64
CBS News,-,"Guatemala' ""Volcan de Fuego"" eruption: Rescue operations underway amid unrelenting devastation… https://t.co/TZKxGlWFUs",2018-06-04 07:20:30-05:00,0.5106,0.231,0.0,0.769,65
CBS News,-,A new study of breast cancer treatment finds thousands of women with the disease may be able to safely avoid chemot… https://t.co/cTe2E8cEXf,2018-06-04 07:11:22-05:00,-0.5267,0.115,0.237,0.647,66
CBS News,-,"Facebook is facing scrutiny for reportedly providing data to at least 60 device makers, including Amazon, Apple, an… https://t.co/TyWjWGjPGo",2018-06-04 07:07:44-05:00,0.1779,0.086,0.0,0.914,67
CBS News,-,Canadian Prime Minister Justin Trudeau is blasting President Trump’s new tariffs https://t.co/v0iggpOxfm https://t.co/kg4GN0l99T,2018-06-04 07:06:13-05:00,0.0,0.0,0.0,1.0,68
CBS News,-,Rescue operations underway amid unrelenting devastation from Guatemala’s “Volcan de Feugo.” People are potentially… https://t.co/1CFrlxOfmO,2018-06-04 07:05:41-05:00,0.128,0.173,0.147,0.681,69
CBS News,-,"Facebook reportedly provided Apple, Samsung with access to data from users, their friends https://t.co/bBaMFjsipo https://t.co/GH5tyVRvGX",2018-06-04 07:00:41-05:00,0.4767,0.181,0.0,0.819,70
CBS News,-,Here’s a look at some of this morning’s headlines on @CBSThisMorning https://t.co/apB5H237DQ,2018-06-04 06:58:46-05:00,0.0,0.0,0.0,1.0,71
CBS News,-,The FBI is investigating one of its agents after his gun went off while he was dancing. The incident caught on vide… https://t.co/yidsVS90HI,2018-06-04 06:43:25-05:00,-0.34,0.0,0.098,0.902,72
CBS News,-,Investigators looking for links after 4th fatal shooting near Phoenix https://t.co/RP1akdR8mN https://t.co/VZFMkxiKQn,2018-06-04 06:40:38-05:00,-0.5423,0.0,0.241,0.759,73
CBS News,-,The Golden State Warriors are halfway to another NBA title. Steph Curry scored 33 points to beat Cleveland last nig… https://t.co/MdKvsvtuFC,2018-06-04 06:39:59-05:00,0.0,0.0,0.0,1.0,74
CBS News,-,"Former President Bill Clinton says if the Russia investigation happened with a Democratic president, Republicans wo… https://t.co/3tNDwtyjVO",2018-06-04 06:38:40-05:00,0.0,0.0,0.0,1.0,75
CBS News,-,"Arizona police are hunting for a gunman who killed at least 3people, including a forensic psychiatrist who worked o… https://t.co/ctJSH0nolR",2018-06-04 06:35:49-05:00,-0.6705,0.0,0.209,0.791,76
CBS News,-,"Here are three things you should know this morning:
1⃣First lady appearance
2⃣Apple tackles phone addiction 
3⃣Spac… https://t.co/Ltc2S73rml",2018-06-04 06:34:51-05:00,0.0,0.0,0.0,1.0,77
CBS News,-,"WATCH: When an off-duty FBI agent was dancing at a club, his gun fell out, discharged and shot a patron in the leg… https://t.co/XUgOxEuJ9i",2018-06-04 06:21:19-05:00,-0.34,0.0,0.103,0.897,78
CBS News,-,Preparations are underway for next week's summit between the U.S. and North Korea. Officials are working out a seri… https://t.co/kU1ImMmPQN,2018-06-04 06:16:59-05:00,0.0,0.0,0.0,1.0,79
CBS News,-,A memo from President Trump's lawyers to Special Counsel Robert Mueller says that a president cannot obstruct justi… https://t.co/6CVh1DkrTB,2018-06-04 06:15:22-05:00,0.4019,0.144,0.0,0.856,80
CBS News,-,"About 2,000 homes are threatened this morning by wildfires in the Southwest. Dry Conditions are fueling about a doz… https://t.co/6yfbmORWwp",2018-06-04 06:10:11-05:00,-0.4588,0.0,0.143,0.857,81
CBS News,-,A 5.5 magnitude earthquake is among hundreds rocking the summit of Hawaii's Kilauea Volcano. The earthquakes are ra… https://t.co/1cY0tqhFxl,2018-06-04 06:08:44-05:00,0.0,0.0,0.0,1.0,82
CBS News,-,A catastrophic volcano eruption in Guatemala is affecting more than a million people. “Volcan de Fuego” exploded ju… https://t.co/gGKz1bUqHc,2018-06-04 06:05:54-05:00,-0.4939,0.0,0.167,0.833,83
CBS News,-,"10-year-old's sings John Lennon's ""Imagine"" for school talent show, now his performance has been seen by millions o… https://t.co/mBiZwKdWDr",2018-06-04 06:01:01-05:00,0.4215,0.135,0.0,0.865,84
CBS News,-,First lady Melania Trump not attending G7 summit in Quebec or North Korea summit in Singapore with the president… https://t.co/nIcKKeV7Qt,2018-06-04 05:40:49-05:00,0.0,0.0,0.0,1.0,85
CBS News,-,"""When something feels hard, remember that it gets better,"" Jimmy Fallon made a surprise appearance at Marjory Stone… https://t.co/Pp2YPZ6gbw",2018-06-04 05:21:11-05:00,0.1779,0.108,0.072,0.821,86
CBS News,-,Millionaire charged in death of man he hired to dig tunnels beneath his home https://t.co/BUnc6WgqyF https://t.co/F3G8S5rLIb,2018-06-04 05:03:06-05:00,-0.6908,0.0,0.289,0.711,87
CBS News,-,"First lady Melania Trump not attending G7, North Korea summits https://t.co/810BmpEvq3 https://t.co/KyMHEjEg9m",2018-06-04 04:48:05-05:00,0.0,0.0,0.0,1.0,88
CBS News,-,Soldier deployed overseas surprises son at high school graduation https://t.co/adB0rpKCap https://t.co/ibnRDnH4Io,2018-06-04 04:33:05-05:00,0.2263,0.16,0.0,0.84,89
CBS News,-,"Kasich ""very, very concerned"" about North Korea summit, says U.S. must be ""extremely careful""… https://t.co/tdg24p34nh",2018-06-04 04:18:05-05:00,0.0,0.0,0.0,1.0,90
CBS News,-,People who ignored evacuation orders are now being rescued by helicopter in Hawaii https://t.co/fVRXtiH6HT https://t.co/3dQmV1CNPR,2018-06-04 04:03:05-05:00,0.128,0.155,0.127,0.718,91
CBS News,-,SpaceX rocket launches powerful communications satellite https://t.co/fvx2Dox8bZ https://t.co/1Pvy2bpbmZ,2018-06-04 03:48:03-05:00,0.4215,0.286,0.0,0.714,92
CBS News,-,'Sing for Hope' places pianos all over New York City to give people opportunities to connect https://t.co/fjFj3tS2d6 https://t.co/YocJWlb6P9,2018-06-04 03:33:05-05:00,0.6705,0.256,0.0,0.744,93
CBS News,-,"Ute Park Fire grows to more than 27,000 acres in New Mexico https://t.co/z9sOIqsHuG https://t.co/kJokt2LFq6",2018-06-04 03:18:03-05:00,-0.34,0.0,0.156,0.844,94
CBS News,-,"Wildfire season starts off in western states, forcing hundreds to evacuate https://t.co/MqUr51LByf https://t.co/wQoR4lO2iq",2018-06-04 03:03:05-05:00,0.0,0.0,0.0,1.0,95
CBS News,-,"Jimmy Fallon surprises Parkland students at graduation: ""Don't let anything stop you"" https://t.co/2Uoux9s3pf https://t.co/UGZdcjEqCI",2018-06-04 02:48:04-05:00,0.4191,0.24,0.0,0.76,96
CBS News,-,Volcanic activity in Hawaii intensifies as police are ordered to arrest those who refuse to leave… https://t.co/ZdPQ4porLT,2018-06-04 02:33:04-05:00,-0.5574,0.0,0.235,0.765,97
CBS News,-,Residents surrounded by lava on Hawaii's Big Island https://t.co/H3cowx5l2U https://t.co/22FWC7YmOp,2018-06-04 02:18:03-05:00,0.0,0.0,0.0,1.0,98
CBS News,-,Steve Hartman meets two best friends decades apart in age that maintain an unlikely friendship… https://t.co/EgK52eGeJG,2018-06-04 02:03:03-05:00,0.8074,0.343,0.0,0.657,99
CBS News,-,Police officer wounds himself during pursuit near San Diego marathon https://t.co/l9TohL9Q8D https://t.co/pxNc6GCo7E,2018-06-04 01:49:05-05:00,0.0,0.0,0.0,1.0,100
CNN,-,Tim Cook says he’s more afraid of “people thinking like machines than machines thinking like people”… https://t.co/WpZEFDDkEz,2018-06-04 21:30:00-05:00,0.6124,0.25,0.0,0.75,1
CNN,-,This surveillance camera footage shows a tiny asteroid that NASA says disintegrated over southern Africa https://t.co/fOHRKhvVeA,2018-06-04 21:25:21-05:00,0.0,0.0,0.0,1.0,2
CNN,-,Tim Cook says he doesn't think tariffs are going to make your iPhone more expensive https://t.co/vvYqtHnJXz https://t.co/3HrTDcnU0K,2018-06-04 21:20:00-05:00,0.0,0.0,0.0,1.0,3
CNN,-,"Apple CEO Tim Cook says even he was surprised by how much time he spends on his phone: ""I thought I was fairly disc… https://t.co/brxCCvUp4r",2018-06-04 21:10:00-05:00,0.2263,0.076,0.0,0.924,4
CNN,-,Former San Francisco 49ers wide receiver Dwight Clark has died at age 61 after a battle with amyotrophic lateral sc… https://t.co/2EAcTb3uCz,2018-06-04 21:00:17-05:00,-0.7351,0.0,0.256,0.744,5
CNN,Cuomo Prime Time,RT @CuomoPrimeTime: Rudy Giuliani addresses his legacy telling @ChrisCuomo he has a “clear conscience”: “I’m doing my job as a lawyer” #Cuo…,2018-06-04 20:51:28-05:00,0.0,0.0,0.0,1.0,6
CNN,-,Rudy Giuliani on shifting Trump Tower story: “It was a mistake. I swear to God” https://t.co/LjH4CCHbOp… https://t.co/tsBZi4ygfF,2018-06-04 20:50:23-05:00,-0.3818,0.0,0.217,0.783,7
CNN,Cuomo Prime Time,RT @CuomoPrimeTime: Trump lawyer Rudy Giuliani to @ChrisCuomo: “It would be suicide” for President Trump to pardon himself #CuomoPrimeTime…,2018-06-04 20:48:01-05:00,0.3182,0.113,0.0,0.887,8
CNN,-,"“I’m doing my job as a lawyer”: Rudy Giuliani addresses his legacy, telling @ChrisCuomo he has a “clear conscience”… https://t.co/chjd84zynD",2018-06-04 20:42:14-05:00,0.0,0.0,0.0,1.0,9
CNN,-,Trump lawyer Rudy Giuliani to @ChrisCuomo: “It would be suicide” for President Trump to pardon himself… https://t.co/ai5NFgcgg2,2018-06-04 20:38:39-05:00,0.3182,0.126,0.0,0.874,10
CNN,-,Tim Cook on whether Apple products will be impacted by an escalating trade war: “I don’t think that iPhone will get… https://t.co/oLU0mkWhjs,2018-06-04 20:32:01-05:00,-0.5994,0.0,0.157,0.843,11
CNN,-,"Rudy Giuliani on shifting the Trump Tower story: ""It was a mistake. I swear to God."" https://t.co/UsuafcFjdP https://t.co/l2KZdChHB1",2018-06-04 20:28:56-05:00,-0.3818,0.0,0.205,0.795,12
CNN,-,Tim Cook: “We think privacy is a fundamental human right” https://t.co/FCFdEQcNhY https://t.co/z4guSEO51c,2018-06-04 20:26:48-05:00,0.0,0.0,0.0,1.0,13
CNN,-,JUST IN: Special counsel Robert Mueller's office has accused former Trump campaign chairman Paul Manafort of attemp… https://t.co/3ZYY293nGY,2018-06-04 20:17:24-05:00,0.128,0.129,0.105,0.766,14
CNN,-,"Tim Cook says he doesn’t worry about “machines taking over the world,” adding “I worry much more about people think… https://t.co/rrusV8ZF5Z",2018-06-04 20:12:49-05:00,-0.7003,0.0,0.234,0.766,15
CNN,-,"""I thought I was fairly disciplined about this. And I was wrong. ... I was spending too much time on my phone."" App… https://t.co/1TVK9pODGm",2018-06-04 20:01:38-05:00,-0.4767,0.0,0.134,0.866,16
CNN,Cuomo Prime Time,"RT @CuomoPrimeTime: Cuomo PrimeTime, with anchor @ChrisCuomo, premieres NOW on CNN and https://t.co/W9zR5Q1zho #CuomoPrimeTime https://t.co…",2018-06-04 20:00:53-05:00,0.0,0.0,0.0,1.0,17
CNN,-,"Twitter has made it into the S&amp;P 500, replacing Monsanto. The social media company's stock jumped more than 3% afte… https://t.co/dRBQRYfEet",2018-06-04 19:52:03-05:00,0.0,0.0,0.0,1.0,18
CNN,-,".@andersoncooper: Is President Trump above the law? Once again, tweeting it simply doesn’t make it so… https://t.co/LHzf91YZIT",2018-06-04 19:44:42-05:00,0.0,0.0,0.0,1.0,19
CNN,-,"@andersoncooper Conservative Dinesh D'Souza, recently pardoned by President Trump, tells @andersoncooper he believe… https://t.co/5OHx1VQuTG",2018-06-04 19:35:24-05:00,0.2263,0.128,0.0,0.872,20
CNN,-,"Conservative Dinesh Souza, recently pardoned by President Trump, tells @andersoncooper he believes he was prosecute… https://t.co/vyqynldaix",2018-06-04 19:32:04-05:00,0.2263,0.112,0.0,0.888,21
CNN,-,"As President Donald Trump huddled in the Oval Office with Kim Jong Un's right-hand man, he was accompanied by only… https://t.co/7gRffE7Lpi",2018-06-04 19:28:11-05:00,0.0,0.0,0.0,1.0,22
CNN,Anderson Cooper 360°,"RT @AC360: .@andersoncooper: Is President Trump above the law? Once again, tweeting it simply doesn’t make it so #KeepingThemHonest https:/…",2018-06-04 19:16:31-05:00,0.0,0.0,0.0,1.0,23
CNN,-,"Apple has introduced several new features for iOS 12, including group FaceTime calls and custom ""memoji""… https://t.co/bVGpXn0gN5",2018-06-04 19:15:22-05:00,0.0,0.0,0.0,1.0,24
CNN,-,"The suspect in killings in Scottsdale, Arizona, has been linked to a man and a woman found shot to death inside a h… https://t.co/GIo5A08zBx",2018-06-04 19:06:05-05:00,-0.891,0.0,0.371,0.629,25
CNN,-,Why meeting a US President is the ultimate aim of the Kim family | By Ben Westcott via @CNNOpinion… https://t.co/ARPwk4QrdL,2018-06-04 19:01:10-05:00,0.0,0.0,0.0,1.0,26
CNN,-,The US Air Force has canceled a $24 million contract for new refrigerators for President Donald Trump's presidentia… https://t.co/lOM2p37Ba0,2018-06-04 18:56:05-05:00,0.0,0.0,0.0,1.0,27
CNN,-,Sen. Ted Cruz was speechless for 18 seconds after a reporter asked him whether President Trump can pardon himself… https://t.co/FztJVLJtYG,2018-06-04 18:53:45-05:00,0.3182,0.113,0.0,0.887,28
CNN,-,"Melania Trump, who has not been seen publicly for the past 24 days, attended a reception for Gold Star military fam… https://t.co/p4bPBlBJJS",2018-06-04 18:51:05-05:00,0.0,0.0,0.0,1.0,29
CNN,-,"Trump torches Macron, his last friend in the G-7 | By David A. Andelman via @CNNOpinion https://t.co/xGzEYBVclH https://t.co/cI7OAfGCUy",2018-06-04 18:46:22-05:00,0.4939,0.167,0.0,0.833,30
CNN,OutFrontCNN,"RT @OutFrontCNN: ""The White House is facing a crisis of confidence on it's spokespeople's ability to tell the truth about some very basic f…",2018-06-04 18:44:35-05:00,0.4215,0.255,0.132,0.613,31
CNN,-,How Uber moved into New York City and defeated the formidable yellow cab industry https://t.co/3qOAxwMlAf https://t.co/imfJJNy67K,2018-06-04 18:43:58-05:00,-0.4767,0.0,0.171,0.829,32
CNN,-,The Philadelphia Eagles' White House visit has been canceled due to the controversy over standing for the national… https://t.co/7igbhzLDjF,2018-06-04 18:41:15-05:00,0.0,0.0,0.0,1.0,33
CNN,-,Apple has announced some new privacy and anti-tracking features coming to its Safari browser… https://t.co/3kiU0Y5vVV,2018-06-04 18:31:19-05:00,0.0,0.0,0.0,1.0,34
CNN,-,"To grasp the latest physics breakthrough, think of sumo wrestlers and barracudas | By Don Lincoln via @CNNOpinion… https://t.co/RUXtlYOiZT",2018-06-04 18:27:06-05:00,0.0,0.0,0.0,1.0,35
CNN,-,Here's what's blowing up America's health care budget https://t.co/SWq0V1ZQwB https://t.co/bVpHk4lUEc,2018-06-04 18:26:08-05:00,0.4939,0.262,0.0,0.738,36
CNN,The Lead CNN,"RT @TheLeadCNN: President Trump is asserting one of the broadest interpretations possible of the powers of the Executive branch, suggesting…",2018-06-04 18:23:52-05:00,0.0,0.0,0.0,1.0,37
CNN,-,"Statin recommendations may change, especially for African-Americans https://t.co/nI19k4xiqn https://t.co/8cWJ27yFSD",2018-06-04 18:22:00-05:00,0.0,0.0,0.0,1.0,38
CNN,-,Melania Trump attends her first official event in 24 days https://t.co/pUTYQUjEpQ https://t.co/tSZKMOnOcu,2018-06-04 18:18:06-05:00,0.0,0.0,0.0,1.0,39
CNN,Cuomo Prime Time,"RT @CuomoPrimeTime: Everybody's talking about him. We are talking to him. 

Tonight at 9p ET, Rudy Giuliani joins @ChrisCuomo for the premi…",2018-06-04 18:02:25-05:00,0.0,0.0,0.0,1.0,40
CNN,-,This FBI agent lost his gun during a dance-floor backflip and accidentally shot a bar patron https://t.co/DN6ENJDXFS https://t.co/7CbbmpKrJi,2018-06-04 18:01:50-05:00,-0.7269,0.0,0.353,0.647,41
CNN,-,"An additional five patients have died in association with weight loss balloons, bringing the total number of deaths… https://t.co/Yex4YtSeO9",2018-06-04 18:00:57-05:00,-0.6808,0.056,0.254,0.69,42
CNN,The Situation Room,"RT @CNNSitRoom: Senator Blumenthal on Trump’s pardon comments: “I hope my Republican colleagues will speak up and stand up, because nothing…",2018-06-04 17:47:54-05:00,0.6369,0.215,0.0,0.785,43
CNN,-,President Trump’s attacks are an effort to “discredit the [Russia] investigation before it concludes its report” an… https://t.co/xFJpVgv0CR,2018-06-04 17:47:34-05:00,-0.4404,0.0,0.146,0.854,44
CNN,-,Société Générale will pay more than $860 million in fines for bribing Libyan officials and manipulating a benchmark… https://t.co/4EU5ae3RcC,2018-06-04 17:39:49-05:00,-0.4404,0.0,0.196,0.804,45
CNN,-,It's Trump against the world on tariffs -- and he's getting an earful | Analysis by CNN's Z. Byron Wolf… https://t.co/I8lo4LD0QF,2018-06-04 17:31:16-05:00,0.0,0.0,0.0,1.0,46
CNN,-,How the Supreme Court (respectfully) kicked the cake down the road | By Mark Goldfeder via @CNNOpinion… https://t.co/uNqmkrV4NC,2018-06-04 17:18:55-05:00,0.5574,0.184,0.0,0.816,47
CNN,-,A man undergoing CPR exhibited signs of conscious awareness for 90 minutes before the medical team stopped the life… https://t.co/C9o97CZrCf,2018-06-04 17:11:08-05:00,-0.2263,0.0,0.095,0.905,48
CNN,-,This FBI agent dropped his gun during a dance-floor backflip and accidentally shot someone https://t.co/1eGXZd3v0g https://t.co/xNt37UzkJF,2018-06-04 17:01:04-05:00,-0.5859,0.0,0.27,0.73,49
CNN,-,Apple has unveiled new augmented reality features like a tool for measuring real-life objects with an iPhone or iPa… https://t.co/pJyNgOpNCh,2018-06-04 17:00:59-05:00,0.3612,0.122,0.0,0.878,50
CNN,-,"The US military carried out several drone strikes in Somalia in the last few weeks, targeting dozens of anti-govern… https://t.co/XIRz06jMBy",2018-06-04 16:56:35-05:00,-0.3612,0.0,0.116,0.884,51
CNN,-,"Two US B-52 bombers flew within the vicinity of the contested Spratly Islands in the South China Sea Monday, accord… https://t.co/tcphUPCdfh",2018-06-04 16:48:56-05:00,0.0,0.0,0.0,1.0,52
CNN,-,"Secure your gun before any backflips, please | By James A. Gagliano via @CNNOpinion https://t.co/Yj2AKnHXJx https://t.co/GcFZSuZNl9",2018-06-04 16:36:03-05:00,0.3182,0.246,0.126,0.628,53
CNN,-,Democrats have more to lose in California than a few primaries | Analysis by CNN's Gregory Krieg… https://t.co/Rs723jMQv4,2018-06-04 16:33:05-05:00,-0.4549,0.0,0.166,0.834,54
CNN,-,"Apple is adding tools to help its customers avoid phone addiction, a direct response to criticisms it received earl… https://t.co/VAevwN5EMG",2018-06-04 16:27:09-05:00,-0.1027,0.118,0.18,0.702,55
CNN,-,"""Former President Bill Clinton has just revealed the ultimate lessons he's learned in the 20 years since his sordid… https://t.co/mGy31UXqPi",2018-06-04 16:21:06-05:00,0.0,0.0,0.0,1.0,56
CNN,-,"Starbucks says Howard Schultz, its former CEO and the most prominent face of the company, is stepping down as execu… https://t.co/ERySDw5Xlk",2018-06-04 16:16:09-05:00,0.3804,0.115,0.0,0.885,57
CNN,-,Unpacking the real story behind Republicans' chances at holding the Senate in 2018 | Analysis by CNN's Chris Cilliz… https://t.co/ODoW8srlWQ,2018-06-04 16:11:03-05:00,0.2023,0.091,0.0,0.909,58
CNN,-,"The Koch brothers' conservative political network is launching an aggressive ""multi-year, multimillion-dollar"" camp… https://t.co/bBYUEmqR0d",2018-06-04 16:06:05-05:00,-0.1531,0.0,0.11,0.89,59
